#,单词,音标,解释,笔记
984,material,英:/məˈtɪəriəl/ 美:/məˈtɪriəl/,adj. 物质的，实质性的；重要的；肉体的 n. 材料，原料；物资；布料,
985,mathematics,英:/ˌmæθəˈmætɪks/ 美:/ˌmæθəˈmætɪks/,n. 数学,
986,matter,英:/ˈmætə(r)/ 美:/ˈmætər/,n. 物质；事件；原因 vi. 要紧；有关系,
987,may,英:/meɪ/ 美:/me/,aux. 可能，可以；愿意,
988,me,英:/miː/ 美:/mi/,pron. 我(宾格),
989,meal,英:/miːl/ 美:/mil/,n. 一餐，一顿饭；膳食 vi. 进餐,
990,meaning,英:/ˈmiːnɪŋ/ 美:/ˈmiːnɪŋ/,n. 意义；含义；意图 adj. 意味深长的,
991,means,英:/miːnz/ 美:/miːnz/,n. 方法；手段；财产（mean的复数） v. 意思是；打算（mean的第三人称单数）,
992,measure,英:/ˈmeʒə(r)/ 美:/ˈmeʒər/,n. 措施；程度；测量；尺寸 vt. 测量；估量；权衡,
993,measurement,英:/'meʒəm(ə)nt/ 美:/'mɛʒɚmənt/,n. 测量，测量法；尺寸，尺码；大小；衡量；三围,
994,meat,英:/miːt/ 美:/mit/,n. 肉，肉类（食用）,
995,medical,英:/'medɪk(ə)l/ 美:/'mɛdɪkl/,adj. 医学的；内科的；药的 n. 医生；体格检查,
996,medicine,英:/'meds(ə)n/ 美:/'mɛdsn/,n. 药；医学；内科；巫术 vt. 给…用药；用药物治疗,
997,meeting,英:/'miːtɪŋ/ 美:/'mitɪŋ/,n. 会议；集会；会见；汇合点 v. 会面；会合（meet的ing形式）,
998,melt,英:/melt/ 美:/melt/,vi. 熔化，溶解；渐混 vt. 使软化；使融化；使熔化；使感动,
999,member,英:/ˈmembə(r)/ 美:/ˈmembər/,n. 成员；会员；议员,
1000,memory,英:/ˈmeməri/ 美:/ˈmeməri/,n. 记忆，记忆力；回忆；内存，存储器,
1001,mental,英:/ˈmentl/ 美:/ˈmentl/,adj. 精神的；脑力的；疯的 n. 精神病患者,
1002,mention,英:/'menʃ(ə)n/ 美:/'mɛnʃən/,vt. 说起；提到，谈到；提及，论及 n. 提及，说起,
1003,message,英:/'mesɪdʒ/ 美:/'mɛsɪdʒ/,n. 消息；预言；启示；广告词；差使 vi. 报信，报告；报文,
1004,meter,英:/ˈmiːtə(r)/ 美:/ˈmiːtər/,n. 公尺；仪表；韵律；米 vt. 用仪表测量 vi. 用表计量,
1005,method,英:/ˈmeθəd/ 美:/ˈmeθəd/,n. 方法；条理；[计]类函数 adj. 使用体验派表演方法的,
1006,middle,英:/'mɪd(ə)l/ 美:/'mɪdl/,adj. 中间的，中部的；中级的，中等的 n. 中间，中央；腰部,
1007,might,英:/maɪt/ 美:/maɪt/,aux. 可能；也许；may的过去式 n. 威力；力量,
1008,mile,英:/maɪl/ 美:/maɪl/,n. 英里；一英里赛跑；较大的距离,
1009,military,英:/ˈmɪlətri/ 美:/ˈmɪləteri/,adj. 军事的；军人的；适于战争的 n. 军队；军人,
1010,milk,英:/mɪlk/ 美:/mɪlk/,n. 牛奶；乳状物 vt. 榨取；挤…的奶,
1011,million,英:/ˈmɪljən/ 美:/ˈmɪljən/,n. 百万；无数 adj. 百万的；无数的,
1012,mind,英:/maɪnd/ 美:/maɪnd/,n. 智力；理智，精神；意见；记忆力 vt. 介意；专心于；照料,
1013,mine,英:/maɪn/ 美:/maɪn/,n. 矿山，矿井；矿，矿藏；地雷，水雷 v.（在某地）开矿，采矿；埋雷于；布雷于；用雷炸毁（车辆） pron. 我的（第一人称单数所有格代词）,
1014,mineral,英:/ˈmɪnərəl/ 美:/ˈmɪnərəl/,n. 矿物；[化]无机物；（英）矿泉水；苏打水（常用复数表示） adj. 矿物的；矿质的,
1015,minister,英:/ˈmɪnɪstə(r)/ 美:/ˈmɪnɪstər/,n. 部长；大臣；牧师 vi. 执行牧师职务；辅助或伺候某人,
1016,minute,英:/'mɪnɪt/ 美:/'mɪnɪt/,n. 片刻，一会儿；分，分钟；备忘录，笔记；会议记录 vt. 将…记录下来,
1017,mirror,英:/ˈmɪrə(r)/ 美:/ˈmɪrər/,n. 镜子；真实的写照；榜样 vt. 反映；反射,
1018,miss,英:/mɪs/ 美:/mɪs/,vt. 漏掉，错过，想念,
1019,mist,英:/mɪst/ 美:/mɪst/,n. 薄雾；视线模糊不清；模糊不清之物 vi. 下雾；变模糊,
1020,mistake,英:/mɪ'steɪk/ 美:/mɪ'stek/,n. 错误；误会；过失 vt. 误解；弄错,
1021,mix,英:/mɪks/ 美:/mɪks/,vt. 使混和；配制；混淆；使结交 vi. 相混合；交往；参与,
1022,mixture,英:/ˈmɪkstʃə(r)/ 美:/ˈmɪkstʃər/,n. 混合；混合物；混合剂,
1023,model,英:/ˈmɒdl/ 美:/ˈmɑːdl/,n. 模型；模范；模特儿；典型；样式 vt. 模仿；模拟；塑造,
1024,moment,英:/ˈməʊmənt/ 美:/ˈmoʊmənt/,n. 瞬间；重要时刻；指定时刻；重要，契机,
1025,money,英:/ˈmʌni/ 美:/ˈmʌni/,n. 钱；货币；财富,
1026,monkey,英:/'mʌŋkɪ/ 美:/'mʌŋki/,n. 猴子；顽童 vi. 捣蛋；胡闹,
1027,month,英:/mʌnθ/ 美:/mʌnθ/,n. 月，一个月的时间,
1028,moon,英:/muːn/ 美:/mun/,n. 月亮；月球；月光；卫星 vi. 闲荡；出神,
1029,more,英:/mɔː/ 美:/mɔr/,adv. 更多；更大程度地；此外 adj. 更多的；附加的,
1030,morning,英:/'mɔːnɪŋ/ 美:/'mɔrnɪŋ/,n. 早晨；[诗]初期；黎明,
1031,most,英:/məʊst/ 美:/most/,adv. 最；最多；非常，极其；几乎 adj. 最多的；大部分的，多数的,
1032,mother,英:/'mʌðə/ 美:/'mʌðɚ/,n. 母亲；大娘；女修道院院长 vt. 生下；养育；像母亲般关怀或照管,
1033,motor,英:/ˈməʊtə(r)/ 美:/ˈmoʊtər/,n. 发动机，马达；汽车 adj. 机动的；汽车的,
1034,mouse,英:/maʊs/ 美:/maʊs/,n. 鼠标；老鼠；胆小羞怯的人 vt. 探出,
1035,mouth,英:/maʊθ/ 美:/maʊθ/,n. 口，嘴；河口 vt. 做作地说，装腔作势地说；喃喃地说出,
1036,move,英:/muːv/ 美:/muv/,n. 迁居；步骤；移动 vi. 移动；搬家，迁移；离开,
1037,movement,英:/ˈmuːvmənt/ 美:/ˈmuːvmənt/,n. 运动；乐章；活动；运转,
1038,mud,英:/mʌd/ 美:/mʌd/,n. 泥；泥浆；诽谤 vt. 弄脏；抹泥,
1039,multiply,英:/ˈmʌltɪplaɪ/ 美:/ˈmʌltɪplaɪ/,vt. 乘；使相乘；使增加；使繁殖 vi. 繁殖；增加；乘,
1040,muscle,英:/ˈmʌsl/ 美:/ˈmʌsl/,n. 肌肉；力量 vt. 加强；使劲搬动；使劲挤出,
1041,musician,英:/mjuː'zɪʃ(ə)n/ 美:/mjʊ'zɪʃən/,n. 音乐家,
1042,must,英:/mʌst/ 美:/məst/,aux. 必须，一定；很可能；可以，应当 n. 绝对必要的事物；未发酵葡萄汁,
1043,my,英:/maɪ/ 美:/maɪ/,pron. 我的 int. 哎呀（表示惊奇等）；喔唷,
1044,mysterious,英:/mɪˈstɪəriəs/ 美:/mɪˈstɪriəs/,adj. 神秘的; 难以理解的 诡秘的,
1045,mystery,英:/ˈmɪstri/ 美:/ˈmɪstəri/,n. 神秘，秘密；神秘的事物；奥秘,
1046,nail,英:/neɪl/ 美:/neɪl/,vt. 钉；揭露；使固定 n. 指甲；钉子,
1047,name,英:/neɪm/ 美:/nem/,n. 名称；姓名；名义；名誉；名人 v. 命名；取名；说出( ... 的名字) adj. 著名的,
1048,narrow,英:/ˈnærəʊ/ 美:/ˈnæroʊ/,adj. 狭窄的，有限的；度量小的；精密的；勉强的 n. 狭窄部分，隘路；海峡,
1049,nasty,英:/ˈnɑːsti/ 美:/ˈnæsti/,adj. 下流的；肮脏的；脾气不好的；险恶的 n. 令人不快的事物,
1050,nation,英:/ˈneɪʃn/ 美:/ˈneɪʃn/,n. 国家；民族；国民,
1051,national,英:/ˈnæʃnəl/ 美:/ˈnæʃnəl/,adj. 国家的；国民的；民族的；国立的 n. 国民,
1052,natural,英:/'nætʃ(ə)r(ə)l/ 美:/'nætʃrəl/,adj. 天然的；（能力）天生的；无添加剂的；本位音的 n. 天生具有…才能的人,
1053,navy,英:/ˈneɪvi/ 美:/ˈneɪvi/,n. 海军,
1054,near,英:/nɪə/ 美:/nɪr/,adj. 近的；近似的；亲近的 adv. 接近；近,
1055,nearly,英:/'nɪəlɪ/ 美:/'nɪrli/,adv. 差不多，几乎；密切地,
1056,neat,英:/niːt/ 美:/niːt/,adj. 整洁的；未搀水的；优雅的；灵巧的；齐整的；平滑的,
1057,necessary,英:/ˈnesəsəri/ 美:/ˈnesəseri/,adj. 必要的; 必需的；必然的; 不可避免的  n. 必需品,
1058,neck,英:/nek/ 美:/nɛk/,n. 脖子；衣领；海峡 vi. [口]搂著脖子亲吻；变狭窄,
1059,need,英:/niːd/ 美:/nid/,n. 需要，要求；必要之物；缺乏 vt. 需要,
1060,needle,英:/ˈniːdl/ 美:/ˈniːdl/,n. 针；指针；针状物；刺激 vi. 缝纫；做针线,
1061,neither,英:/'naɪðə/ 美:/'niðɚ/,conj. 既不；也不 adv. 两个都不；既不……也不,
1062,nerve,英:/nɜːv/ 美:/nɜːrv/,n. 神经；勇气；[植]叶脉 vt. 鼓起勇气,
1063,nervous,英:/ˈnɜːvəs/ 美:/ˈnɜːrvəs/,adj. 神经的；紧张不安的；强健有力的,
1064,net,英:/net/ 美:/net/,n. 网；净利；网络；实价 vi. 编网,
1065,network,英:/ˈnetwɜːk/ 美:/ˈnetwɜːrk/,n. 网络；网状物；广播网,
1066,never,英:/'nevə/ 美:/'nɛvɚ/,adv. 决不；从未,
1067,new,英:/njuː/ 美:/nu/,adj. 新的，新鲜的；更新的；初见的 adv. 新近,
1068,news,英:/njuːz/ 美:/nuz/,n. 新闻，消息；新闻报导,
1069,newspaper,英:/'njuːzpeɪpə/ 美:/'nuzpepɚ/,n. 报纸,
1070,next,英:/nekst/ 美:/nekst/,adv. 其次；然后；下次 adj. 贴近的；下一个的；其次的,
1071,nice,英:/naɪs/ 美:/naɪs/,adj. 精密的，美好的，细微的，和蔼的,
1072,night,英:/naɪt/ 美:/naɪt/,n. 夜晚，晚上；黑暗，黑夜 adj. 夜晚的，夜间的,
1073,nine,英:/naɪn/ 美:/naɪn/,n. 九，九个 num. 九个；九,
1074,no,英:/nəʊ/ 美:/no/,adv. 不 adj. 没有；不是,
1075,noise,英:/nɒɪz/ 美:/nɔɪz/,n. 响声；杂音；噪音 vt. 谣传,
1076,none,英:/nʌn/ 美:/nʌn/,pron. 没有人；没有任何东西；一个也没有 adj. 没有的，一点没有的,
1077,nonsense,英:/ˈnɒnsns/ 美:/ˈnɑːnsens/,n. 谬论；胡言乱语；愚蠢的行为；毫无意义的话 int. 荒唐,
1078,noon,英:/nuːn/ 美:/nun/,n. 中午；正午；全盛期,
1079,nor,英:/nɔː/ 美:/nɔr/,conj. 也不；也不是 adv. 也不；也没有,
1080,north,英:/nɔːθ/ 美:/nɔrθ/,n. 北，北方 adj. 北方的；朝北的,
1081,Northern,英:/'nɔːð(ə)n/ 美:/'nɔrðɚn/,adj. 北方的；北部的 n. 北部方言,
1082,nose,英:/nəʊz/ 美:/noz/,n. 鼻子；嗅觉；突出的部分；探问 vt. 用鼻子触；嗅,
1083,not,英:/nɔt/ 美:/nɑt/,adv. 不（用于否定句）,
1084,note,英:/nəʊt/ 美:/noʊt/,n. 笔记；注解；便笺；照会；音符；调子；票据；纸币 vt. 记录；注意；注解,
1085,nothing,英:/'nʌθɪŋ/ 美:/'nʌθɪŋ/,neg. 没什么；毫不 n. 无；不关紧要之事；零,
1086,notice,英:/ˈnəʊtɪs/ 美:/ˈnoʊtɪs/,n. 通知，布告；注意；公告 vt. 注意到；通知；留心,
1087,noticeable,英:/ˈnəʊtɪsəbl/ 美:/ˈnoʊtɪsəbl/,adj. 显而易见的；显著的；值得注意的,
1088,noun,英:/naʊn/ 美:/naʊn/,n. [语]名词,
1089,now,英:/naʊ/ 美:/naʊ/,adv. 现在；立刻；如今 adj. 现在的,
1090,nowhere,英:/ˈnəʊweə(r)/ 美:/ˈnoʊwer/,adv. 无处；任何地方都不；毫无结果 n. 无处；任何地方；无名之地,
1091,number,英:/'nʌmbə/ 美:/'nʌmbɚ/,n. 号码；数字；数；算术；（杂志等的）期 vi. 计入；总数达到,
1092,nurse,英:/nɜːs/ 美:/nɜːrs/,vt. 看护，护理；培养；照顾；给…喂奶 vi. 照料，护理；喂奶；当保姆,
1093,nut,英:/nʌt/ 美:/nʌt/,n. 坚果；螺母，螺帽；难对付的人，难解的问题 vi. 采坚果,
1094,obey,英:/əʊˈbeɪ，əˈbeɪ/ 美:/əˈbeɪ，oʊˈbeɪ/,vt. 服从，听从；按照……行动 vi. 服从，顺从；听话,
1095,object,英:/ˈɒbdʒɪkt/ 美:/ˈɑːbdʒekt/,n. 宾语；客体；目标；物体 vt. 提出…作为反对的理由,
1096,obtain,英:/əbˈteɪn/ 美:/əbˈteɪn/,vi. 获得；流行 vt. 获得,
1097,ocean,英:/ˈəʊʃn/ 美:/ˈoʊʃn/,n. 海洋；广阔；[口]大量,
1098,of,英:/ɒv/ 美:/əv/,prep. 属于；关于；…的；由…组成的,
1099,off,英:/ɒf/ 美:/ɔf/,prep. 离开；脱落 adv. 走开；切断,
1100,offence,英:/əˈfens/ 美:/əˈfens/,n. 犯罪；过错；攻击，冒犯；令人讨厌的事物,
1101,offend,英:/əˈfend/ 美:/əˈfend/,vt. 冒犯；使…不愉快 vi. 违反；进攻；引起不舒服,
1102,offensive,英:/əˈfensɪv/ 美:/əˈfensɪv/,adj. 令人不快的；冒犯的；侮辱的；与进攻有关的 n. 攻势；攻击,
1103,offer,英:/ˈɒfə(r)/ 美:/ˈɔːfər/,vt. 提供；试图；出价 n. 提议；出价；意图,
1104,office,英:/ˈɒfɪs/ 美:/ˈɑːfɪs/,n. 办公室；营业处；官职；政府机关,
1105,officer,英:/ˈɒfɪsə(r)/ 美:/ˈɑːfɪsər/,n. 军官，警官；公务员，政府官员；船长 vt. 指挥,
1106,official,英:/əˈfɪʃl/ 美:/əˈfɪʃl/,adj. 正式的；官方的；公务的 n. 官员；公务员,
1107,often,英:/'ɒf(ə)n/ 美:/'ɔfn/,adv. 常常，时常,
1108,oil,英:/ɒɪl/ 美:/ɔɪl/,n. 油；石油；油画颜料 vt. 涂油；加油；使融化,
1109,old,英:/əʊld/ 美:/old/,adj. 年老的；陈旧的，古老的 n. 古时,
1110,on,英:/ɒn/ 美:/ɑn/,adv. 向前地；继续着；作用中，行动中 prep. 在……之上；在……时候；关于；向，朝……,
1111,once,英:/wʌns/ 美:/wʌns/,adv. 一次；曾经 conj. 一旦,
1112,one,英:/wʌn/ 美:/wʌn/,n. 一；一个；一体 adj. 一个的；某一个的；唯一的；同一的 pron. 任何人；某人,
1113,onion,英:/ˈʌnjən/ 美:/ˈʌnjən/,n. 洋葱；洋葱头,
1114,only,英:/'əʊnlɪ/ 美:/'onli/,adv. 只，仅仅；不料 adj. 唯一的，仅有的；最合适的,
1115,onto,英:/ˈɒntə/ 美:/ˈɑːntə/,prep. 向，朝在…之上；对…了解；[数]映射到…上 adj. [数]映成的；映射的；自身的,
1116,open,英:/ˈəʊpən/ 美:/ˈoʊpən/,adj. 营业着的；敞开的；空旷的；公开的；坦率的 vi. 开始；展现,
1117,operate,英:/ˈɒpəreɪt/ 美:/ˈɑːpəreɪt/,vi. 运转；动手术；起作用 vt. 操作；经营；对…开刀；引起,
1118,operation,英:/ˌɒpəˈreɪʃn/ 美:/ˌɑːpəˈreɪʃn/,"n.操作, 运转, 经营；手术",
1119,opinion,英:/əˈpɪnjən/ 美:/əˈpɪnjən/,n. 意见；主张,
1120,opponent,英:/əˈpəʊnənt/ 美:/əˈpoʊnənt/,n. 对手；敌手；反对者,
1121,opportunity,英:/ˌɒpəˈtjuːnəti/ 美:/ˌɑːpərˈtuːnəti/,"n. 机会, 时机",
1122,oppose,英:/əˈpəʊz/ 美:/əˈpoʊz/,vt. 反对；对抗，抗争 vi. 反对,
1123,opposite,英:/ˈɒpəzɪt/ 美:/ˈɑːpəzɪt/,adj. 相反的；对面的；对立的 n. 对立面；反义词,
1124,or,英:/ɔ:/ 美:/ɔr/,conj. 或，或者；还是,
1125,orange,英:/ˈɔrindʒ/ 美:/ˈɔrɪndʒ/,adj. 橘色的；橙色的 n. 桔子；橙；橙色,
1126,order,英:/ˈɔːdə(r)/ 美:/ˈɔːrdər/,n. 命令；顺序；定单；规则 vt. 命令；定购；整理,
1127,ordinary,英:/ˈɔːdnri/ 美:/ˈɔːrdneri/,adj. 普通的；平常的；平凡的 n. 普通；平常的人（或事）,
1128,organ,英:/ˈɔːɡən/ 美:/ˈɔːrɡən/,n. 器官；风琴；机构；喉舌；报刊,
1129,organization,英:/ˌɔːɡənaɪˈzeɪʃn/ 美:/ˌɔːrɡənəˈzeɪʃn/,"n. 团体, 机构 组织 组织性, 系统性",
1130,organize,英:/ˈɔːɡənaɪz/ 美:/ˈɔːrɡənaɪz/,vt. 组织；使有系统化；给予生机；组织成立工会等 vi. 成立组织；组织起来,
1131,origin,英:/ˈɒrɪdʒɪn/ 美:/ˈɔːrɪdʒɪn/,n. 出身；原点；起源；开端,
1132,original,英:/əˈrɪdʒənl/ 美:/əˈrɪdʒənl/,n. 原物；原作；原型；原件 adj. 原始的；最初的；新颖的；独创的,
1133,other,英:/'ʌðə/ 美:/'ʌðɚ/,adj. 其他的，另外的 pron. 另外一个,
1134,ought to,,phr. 应该，应当,
1135,our,英:/aʊə/ 美:/ɑr/,pron. 我们的,
1136,ours,英:/'auəz/ 美:/aʊrz/,pron. 我们的,
1137,out,英:/aʊt/ 美:/aʊt/,adv. 在外；出现；出声地；不流行地；出局 adj. 外面的；出局的；下台的,
1138,outdoor,英:/ˈaʊtdɔː(r)/ 美:/ˈaʊtdɔːr/,adj. 户外的；露天的；野外的（等于out-of-door）,
1139,outer,英:/ˈaʊtə(r)/ 美:/ˈaʊtər/,adj. 远离中心的；外面的，外部的 n. 环外命中,
1140,outside,英:/aʊt'saɪd/ 美:/ˌaʊt'saɪd/,adj. 外面的，外部的；外来的 n. 外部；外观,
1141,over,英:/'əʊvə/ 美:/'ovɚ/,adv. 结束；越过；从头到尾 prep. 在…之上；越过；遍于…之上,
1142,owe,英:/əʊ/ 美:/oʊ/,vt. 感激；欠；应给予；应该把……归功于 vi. 欠钱,
1143,own,英:/əʊn/ 美:/on/,vt. 拥有；承认 vi. 承认,
1144,oxygen,英:/ˈɒksɪdʒən/ 美:/ˈɑːksɪdʒən/,n. 氧气，氧,
1145,pack,英:/pæk/ 美:/pæk/,n. 包裹；一副；一群；包装；背包 vt. 包装；压紧；捆扎；挑选；塞满,
1146,package,英:/ˈpækɪdʒ/ 美:/ˈpækɪdʒ/,n. 包，包裹；套装软件，程序包 adj. 一揽子的,
1147,page,英:/peidʒ/ 美:/pedʒ/,n. 页；大事件，时期；记录；男侍者 vt. 给…标页码,
1148,painful,英:/ˈpeɪnfl/ 美:/ˈpeɪnfl/,adj. 疼痛的；痛苦的；令人不快的,
1149,paint,英:/peɪnt/ 美:/peɪnt/,vt. 油漆；描绘；装饰；绘画 vi. 油漆；绘画,
1150,painting,英:/'peɪntɪŋ/ 美:/'pentɪŋ/,n. 油画；绘画；着色 v. 涂色于；绘画（paint的ing形式）,
1151,pair,英:/peə/ 美:/pɛr/,n. 一对，一双，一副 vt. 把…组成一对,
1152,pale,英:/peɪl/ 美:/peɪl/,adj. 苍白的；暗淡的；无力的 n. 前哨；栅栏；范围,
1153,pan,英:/pæn/ 美:/pæn/,n. 平锅；平底锅；（无盖的）烤模，烤盘；（天平的）秤盘；马桶（的球形部分） v. 严厉批评，抨击（戏剧、电影等）；（移动摄像机）追拍，摇摄；用淘选盘淘（金）,
1154,paper,英:/'peɪpə/ 美:/'pepɚ/,n. 纸；文件；报纸；论文 adj. 纸做的,
1155,parallel,英:/ˈpærəlel/ 美:/ˈpærəlel/,n. 平行线；对比 vt. 使…与…平行,
1156,parent,英:/ˈpeərənt/ 美:/ˈperənt/,n. 父母亲；父亲（或母亲）；根源,
1157,park,英:/pɑːk/ 美:/pɑrk/,n. 公园；停车场 vt. 停放；放置；寄存,
1158,parliament,英:/ˈpɑːləmənt/ 美:/ˈpɑːrləmənt/,"n. 议会, 国会",
1159,part,英:/pɑːt/ 美:/pɑːrt/,n. 部分；角色；零件 vt. 分开；分离；分配,
1160,participate,英:/pɑːˈtɪsɪpeɪt/ 美:/pɑːrˈtɪsɪpeɪt/,"vt. & vi. 参加, 参与",
1161,particular,英:/pəˈtɪkjələ(r)/ 美:/pərˈtɪkjələr/,adj. 特定的；专指的；特殊的；特别的；挑剔的 n. 详情；细节,
1162,partly,英:/ˈpɑːtli/ 美:/ˈpɑːrtli/,adv. 在一定程度上；部分地,
1163,partner,英:/ˈpɑːtnə(r)/ 美:/ˈpɑːrtnər/,n. 合伙人；伙伴；配偶 vi. 合伙；合股；成为搭档,
1164,party,英:/ˈpɑːti/ 美:/ˈpɑːrti/,n. 聚会，派对；政党，党派；[律]当事人 vi. 参加社交聚会,
1165,pass,英:/pɑːs/ 美:/pæs/,n. 及格；经过；护照；途径；[体]传球 vi. 经过；传递；变化；终止,
1166,passage,英:/ˈpæsɪdʒ/ 美:/ˈpæsɪdʒ/,n. 通路；走廊；一段（文章）,
1167,past,英:/pɑːst/ 美:/pæst/,n. 过去；往事 adj. 过去的；结束的,
1168,path,英:/pɑːθ/ 美:/pæθ/,n. 小路；道路；轨道,
1169,patient,英:/ˈpeɪʃnt/ 美:/ˈpeɪʃnt/,adj. 有耐性的，能容忍的 n. 病人；患者,
1170,pause,英:/pɔːz/ 美:/pɔːz/,n. 暂停；间歇 vi. 暂停，停顿，中止；踌躇,
1171,pay,英:/peɪ/ 美:/peɪ/,vt. 支付，付；偿还，补偿 vi. 付款；偿还,
1172,payment,英:/ˈpeɪmənt/ 美:/ˈpeɪmənt/,n. 付款，支付；报酬，报答；惩罚，报应；偿还,
1173,peace,英:/piːs/ 美:/piːs/,n. 和平；和睦；平静；秩序,
1174,peaceful,英:/ˈpiːsfl/ 美:/ˈpiːsfl/,adj. 和平的，爱好和平的；平静的,
1175,pen,英:/pen/ 美:/pɛn/,n. 钢笔；笔；写作；围栏；雌天鹅 v. 写；把…关在圈中,
1176,pence,英:/pens/ 美:/pɛns/,n. 便士（penny的复数）,
1177,pencil,英:/'pens(ə)l/ 美:/'pɛnsl/,n. 铅笔；笔状物 vt. 用铅笔写；用眉笔涂,
1178,people,英:/ˈpiːpl/ 美:/ˈpiːpl/,n. 人；人类；民族；公民 vt. 居住于；使住满人,
1179,pepper,英:/ˈpepə(r)/ 美:/ˈpepər/,n. 胡椒粉；辣椒；胡椒 vt. 加胡椒粉于；使布满,
1180,percent,英:/pəˈsent/ 美:/pəˈsent/,n. 百分比，百分率；百分数；部分 adj. 百分之…的,
1181,perfect,英:/ˈpɜːfɪkt，pəˈfɛkt/ 美:/ˈpɜrfɪkt，pərˈfɛkt/,adj. 完美的；最好的；精通的 vt. 使完美；使熟练,
1182,perform,英:/pəˈfɔːm/ 美:/pərˈfɔːrm/,vt. 执行；完成；演奏 vi. 表演；执行，机器运转,
1183,performance,英:/pəˈfɔːməns/ 美:/pərˈfɔːrməns/,n. 表演，演出；工作情况，表现；（投资的）业绩；执行，履行；（汽车的）性能；（语言学）语言表现，言语行为,
1184,perhaps,英:/pə'hæps/ 美:/pɚ'hæps/,adv. 也许；可能 n. 假定；猜想；未定之事,
1185,period,英:/'pɪərɪəd/ 美:/'pɪrɪəd/,n. 周期，期间；时期；课时；月经 adj. 某一时代的,
1186,permanent,英:/ˈpɜːmənənt/ 美:/ˈpɜːrmənənt/,"adj. 永久(性)的, 固定的",
1187,permission,英:/pəˈmɪʃn/ 美:/pərˈmɪʃn/,"n. 允许, 许可, 准许",
1188,person,英:/'pɜːs(ə)n/ 美:/'pɝsn/,n. 人；[语法]人称；身体；容貌，外表,
1189,personal,英:/ˈpɜːsənl/ 美:/ˈpɜːrsənl/,adj. 个人的；身体的；亲自的 n. 人事消息栏；人称代名词,
1190,persuade,英:/pəˈsweɪd/ 美:/pərˈsweɪd/,vt. 说服，劝说；使某人相信；劝某人做（不做）某事 vi. 说服；被说服,
1191,pet,英:/pet/ 美:/pɛt/,n. 宠物；受宠爱的人；生气 vt. 宠爱,
1192,petrol,英:/ˈpetrəl/ 美:/ˈpetrəl/,n. （英）汽油,
1193,photo,英:/'fəʊtəʊ/ 美:/ˈfoʊtoʊ/,n. 照片,
1194,phrase,英:/freɪz/ 美:/freɪz/,n. 成语；习语；措词 vt. 用短语表达；用语言表达,
1195,physical,英:/ˈfɪzɪkl/ 美:/ˈfɪzɪkl/,adj. 身体的；物质的；物理的 n. [口]体格检查,
1196,physics,英:/ˈfɪzɪks/ 美:/ˈfɪzɪks/,n. 物理学；物理现象,
1197,piano,英:/piˈænəʊ/ 美:/piˈænoʊ/,n. 钢琴,
1198,pick,英:/pɪk/ 美:/pɪk/,vi. 挑选；采摘；挖 vt. 拾取；精选；采摘；掘,
1199,picture,英:/ˈpɪktʃə(r)/ 美:/ˈpɪktʃər/,n. 照片，图画；景色；影片；化身 vt. 画；想像；描写,
1200,piece,英:/piːs/ 美:/pis/,n. 件；篇；块；硬币 vt. 修补；接合；凑合,
1201,pig,英:/pɪg/ 美:/pɪɡ/,n. 猪肉；猪；警察 vi. 生小猪；像猪一样过活,
1202,pile,英:/paɪl/ 美:/paɪl/,n. 堆；大量；建筑群 vt. 累积；打桩于,
1203,pilot,英:/ˈpaɪlət/ 美:/ˈpaɪlət/,n. 领航员；飞行员 adj. 试点的,
1204,pin,英:/pɪn/ 美:/pɪn/,n. 大头针，别针；胸针 vt. (用大头针) 钉住，固定；按住,
1205,pink,英:/pɪŋk/ 美:/pɪŋk/,n. 粉红色；石竹花；头面人物；化身，典范 vt. 使…变粉红色；使…面红耳赤；扎，刺，戳,
1206,pipe,英:/paɪp/ 美:/paɪp/,n. 管子；烟斗；管乐器 vt. 以管输送；装管道；吹奏；尖声说；(为衣服等)滚边 vi. 吹奏管乐；尖叫,
1207,pity,英:/'pɪtɪ/ 美:/'pɪti/,n. 怜悯，同情；遗憾 vt. 对……表示怜悯；对……感到同情,
1208,place,英:/pleɪs/ 美:/ples/,n. 地方；住所；座位 vt. 放置；任命；寄予,
1209,plain,英:/pleɪn/ 美:/pleɪn/,adj. 平的；朴素的；简单的；清晰的 n. 平原；[计]无格式；朴实无华的东西,
1210,plan,英:/plæn/ 美:/plæn/,n. 平面图；计划 vt. 计划；设计；打算,
1211,plane,英:/pleɪn/ 美:/pleɪn/,n. 平面；飞机；程度，水平 vi. 刨；翱翔；乘飞机旅行,
1212,plant,英:/plɑːnt/ 美:/plænt/,n. 植物；工厂；设备；设施 v. 种植；设立；建立；安插；栽赃,
1213,plastic,英:/ˈplæstɪk/ 美:/ˈplæstɪk/,adj. 可塑的；塑料的；（外科）造型的 n. 塑料制品；可塑体；整形,
1214,plate,英:/pleɪt/ 美:/pleɪt/,"n. 盘子, 碟 金属牌 平板, 薄片 vt. 镀, 电镀",
1215,play,英:/pleɪ/ 美:/ple/,vt. 演奏；播放；游戏；扮演；同…比赛 vi. 演奏；玩耍；上演；参加比赛,
1216,pleasant,英:/ˈpleznt/ 美:/ˈpleznt/,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的,
